Name;Tag;Coordinates;Base Item;Attack Damage;Attack Speed;Ability;Armor;Armor Toughness;Enchantments;Bonus Stats;Obtain
Meteor Buckler;Artisan Item;['(2193, 64, 208)'];Shield;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking II'];['+1 Attack Damage', '-0.01 Movement Speed'];['Item is sold by NPC for: 13 Scales. The Tehrmari Runic Blacksmith in Hevhlak is located at (2193, 64, 208).']
Celestial Cowl;Artisan Item;['(2193, 64, 208)'];Leather Helmet;#NO_INFO;#NO_INFO;#NO_INFO;3;3;['#NO_INFO'];['-0.02 Movement Speed'];['Item is sold by NPC for: 14 Scales. The Tehrmari Runic Blacksmith in Hevhlak is located at (2193, 64, 208).']
Pale Steel Helmet;Artisan Item;['(5988, 72, -1101)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;3;2;['#NO_INFO'];['+0.01 Movement Speed'];['Item is sold by NPC for: Runic Amplifier, Diamond Helmet. The Runic Blacksmith in Highfall is located at (5988, 72, -1101).']
Pale Steel Chestplate;Artisan Item;['(5988, 72, -1101)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;8;2;['#NO_INFO'];['+0.01 Movement Speed'];['Item is sold by NPC for: Runic Amplifier, Diamond Chestplate. The Runic Blacksmith in Highfall is located at (5988, 72, -1101).']
Pale Steel Leggings;Artisan Item;['(5988, 72, -1101)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;6;2;['#NO_INFO'];['+0.01 Movement Speed'];['Item is sold by NPC for: Runic Amplifier, Diamond Leggings. The Runic Blacksmith in Highfall is located at (5988, 72, -1101).']
Pale Steel Boots;Artisan Item;['(5988, 72, -1101)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;2;2;['#NO_INFO'];['+0.01 Movement Speed'];['Item is sold by NPC for: Runic Amplifier, Diamond Boots. The Runic Blacksmith in Highfall is located at (5988, 72, -1101).']
Behemoth Edge;Artisan Item;['(5988, 72, -1101)'];Diamond Axe;10;0.8;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['+8 Max Health'];['Item is sold by NPC for: 23 Scales. The Runic Blacksmith in Highfall is located at (5988, 72, -1101).']
Berserker's Greaves;Artisan Item;['(5988, 72, -1101)'];Iron Boots;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['#NO_INFO'];['-8 Max Health', '+0.01 Movement Speed', '+2 Attack Damage'];['Item is sold by NPC for: 21 Scales. The Runic Blacksmith in Highfall is located at (5988, 72, -1101).']
Eternal Prospector;Artisan Item;['(5988, 72, -1101)'];Diamond Pickaxe;6;1.2;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking III', 'Fortune III'];['#NO_INFO'];['Item is sold by NPC for: 40 Scales, 32 Diamonds. The Runic Blacksmith in Highfall is located at (5988, 72, -1101).']
Messenger's Helmet;Artisan Item;['(4132, 66, 1737)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['#NO_INFO'];['+10% Movement Speed'];['Item is sold by NPC for: Iron Helmet, 15 Scales. The Mossfield Runic Blacksmith is found at (4132, 66, 1737).']
Messenger's Chestplate;Artisan Item;['(4132, 66, 1737)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;6;#NO_INFO;['#NO_INFO'];['+10% Movement Speed'];['Item is sold by NPC for: Iron Chestplate, 17 Scales. The Mossfield Runic Blacksmith is found at (4132, 66, 1737).']
Messenger's Leggings;Artisan Item;['(4132, 66, 1737)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['#NO_INFO'];['+10% Movement Speed'];['Item is sold by NPC for: Iron Leggings, 16 Scales. The Mossfield Runic Blacksmith is found at (4132, 66, 1737).']
Messenger's Boots;Artisan Item;['(4132, 66, 1737)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['#NO_INFO'];['+10% Movement Speed'];['Item is sold by NPC for: Iron Boots, 15 Scales. The Mossfield Runic Blacksmith is found at (4132, 66, 1737).']
ICF Infantry Handaxe;Artisan Item;['(4132, 66, 1737)'];Iron Axe;7;1.6;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['+4 Max Health'];['Item is sold by NPC for: 19 Scales. The Mossfield Runic Blacksmith is found at (4132, 66, 1737).']
Lilting Shadow;Artisan Item;['(4132, 66, 1737)'];Stone Sword;9;1.4;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['-4 Max Health', '+0.01 Movement Speed'];['Item is sold by NPC for: 12 Scales, 1 Obsidian. The Mossfield Runic Blacksmith is found at (4132, 66, 1737).']
Lucky Warhelm;Artisan Item;['(4132, 66, 1737)'];Diamond Helmet;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Feather Falling VII', 'Silk Touch VII', 'Luck of the Sea VII'];['+0.02 Movement Speed'];["Item is sold by NPC for: 34 Scales, 6 Rabbit's Foot. The Mossfield Runic Blacksmith is found at (4132, 66, 1737)."]
Daggergown;Artisan Item;['(1882, 63, 4259)'];Chainmail Leggings;#NO_INFO;#NO_INFO;#NO_INFO;1;#NO_INFO;['#NO_INFO'];['-3 Max Health', '+2 Attack Damage'];['Item is sold by NPC for: 15 Scales. A Runic Blacksmith on the lower deck of Port Solitude sells two artisan items, and is located at (1882, 63, 4259).']
Stiletto Heels;Artisan Item;['(1882, 63, 4259)'];Iron Boots;#NO_INFO;#NO_INFO;#NO_INFO;4;#NO_INFO;['Unbreaking III'];['-2 Max Health', '-0.02 Movement Speed', '+2 Attack Damage', '+0.1 Attack Speed'];['Item is sold by NPC for: 15 Scales. A Runic Blacksmith on the lower deck of Port Solitude sells two artisan items, and is located at (1882, 63, 4259).']
Hat;Artisan Item;['(1097, 65, -3018)'];Iron Helmet;#NO_INFO;#NO_INFO;#NO_INFO;2;4;['Unbreaking II'];['#NO_INFO'];['Item is sold by NPC for: 20 Scales. The town of Schlonko is home to a Runic Blacksmith who sells the following two artisan items, at (1097, 65, -3018).']
Shield;Artisan Item;['(1097, 65, -3018)'];Shield;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking II'];['+0.01 Movement Speed'];['Item is sold by NPC for: 18 Scales. The town of Schlonko is home to a Runic Blacksmith who sells the following two artisan items, at (1097, 65, -3018).']
When the Bough Breaks;Artisan Item;['(4876, 101, -3375)'];Iron Axe;19;0.3;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['-0.02 Movement Speed'];['Item is sold by NPC for: 14 Scales. The Runic Blacksmith at this location is found in a tent just outside the inn, at (4876, 101, -3375).']
Like a Diamond in the Sky;Artisan Item;['(4876, 101, -3375)'];Diamond Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;6;#NO_INFO;['#NO_INFO'];['-2 Max Health', '-0.01 Movement Speed', '+2 Attack Damage'];['Item is sold by NPC for: 16 Scales. The Runic Blacksmith at this location is found in a tent just outside the inn, at (4876, 101, -3375).']
Tahvan Sailor's Charm;Artisan Item;['(699, 94, 4607)'];Compass;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['+4% Max Health', '+4% Movement Speed', '+2% Attack Damage', '+2% Attack Speed'];['Item is sold by NPC for: 16 Scales, 1 Compass. In the small coastal settlement of Tahva, there is one Runic Blacksmith who sells a unique artisan item, at (699, 94, 4607).']
Self-Defense Cuissards;Artisan Item;['(4027, 138, -1872)'];Diamond Leggings;#NO_INFO;#NO_INFO;#NO_INFO;3;#NO_INFO;['Feather Falling I'];['+0.01 Movement Speed', '+0.1 Attack Speed'];['Item is sold by NPC for: 30 Scales. An isolated cabin on the eastern face of the hill with the Veruhkt Plateau tower is also the home to a Runic Blacksmith, at (4027, 138, -1872).']
Kestrel;Artisan Item;['(-3460, 125, 2803)'];Crossbow;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Piercing IV', ' Quick Charge II'];['#NO_INFO'];["Item is sold by NPC for: 20 Scales. An isolated house in southwestern Anyr'Nogur is home to a Runic Blacksmith, at (-3460, 125, 2803)."]
Sixty Eighters;Artisan Item;['(-3460, 125, 2803)'];Iron Leggings;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['#NO_INFO'];['+2 Max Health', '+2 Attack Damage'];["Item is sold by NPC for: 22 Scales. An isolated house in southwestern Anyr'Nogur is home to a Runic Blacksmith, at (-3460, 125, 2803)."]
Zeevee Sevens;Artisan Item;['(-3460, 125, 2803)'];Chainmail Boots;#NO_INFO;#NO_INFO;#NO_INFO;3;#NO_INFO;['#NO_INFO'];['-0.01 Movement Speed', '+2 Attack Damage'];["Item is sold by NPC for: 22 Scales. An isolated house in southwestern Anyr'Nogur is home to a Runic Blacksmith, at (-3460, 125, 2803)."]
Rejuvenating Helmet;Artisan Item;['(-2694, 66, -1765)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;3;2;['#NO_INFO'];['+20% Max Health', '-0.01 Movement Speed'];['Item is sold by NPC for: Runic Amplifier, Diamond Helmet. The Runic Blacksmith in Athrah is located at (-2694, 66, -1765).']
Rejuvenating Chestplate;Artisan Item;['(-2694, 66, -1765)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;8;2;['#NO_INFO'];['+20% Max Health', '-0.01 Movement Speed'];['Item is sold by NPC for: Runic Amplifier, Diamond Chestplate. The Runic Blacksmith in Athrah is located at (-2694, 66, -1765).']
Rejuvenating Leggings;Artisan Item;['(-2694, 66, -1765)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;6;2;['#NO_INFO'];['+20% Max Health', '-0.01 Movement Speed'];['Item is sold by NPC for: Runic Amplifier, Diamond Leggings. The Runic Blacksmith in Athrah is located at (-2694, 66, -1765).']
Rejuvenating Boots;Artisan Item;['(-2694, 66, -1765)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;3;2;['#NO_INFO'];['+20% Max Health', '-0.01 Movement Speed'];['Item is sold by NPC for: Runic Amplifier, Diamond Boots. The Runic Blacksmith in Athrah is located at (-2694, 66, -1765).']
Chime Anklets;Artisan Item;['(-2694, 66, -1765)'];Leather Boots;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Unbreaking V'];['-15% Max Health', '+15% Attack Damage'];['Item is sold by NPC for: 16 Scales. The Runic Blacksmith in Athrah is located at (-2694, 66, -1765).']
Carillon Rod;Artisan Item;['(-2694, 66, -1765)'];Fishing Rod;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Lure IV'];['#NO_INFO'];['Item is sold by NPC for: 23 Scales. The Runic Blacksmith in Athrah is located at (-2694, 66, -1765).']
Bellmet;Artisan Item;['(-2694, 66, -1765)'];Golden Helmet;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Unbreaking VIII'];['+6 Max Health', '-0.01 Movement Speed'];['Item is sold by NPC for: 20 Scales. The Runic Blacksmith in Athrah is located at (-2694, 66, -1765).']
Vow of Loyalty;Artisan Item;['(-2694, 66, -1765)'];Golden Boots;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['#NO_INFO'];['-8 Max Health', '+0.04 Movement Speed'];['Item is sold by NPC for: 34 Scales, 8 Blocks of Gold. The Runic Blacksmith in Athrah is located at (-2694, 66, -1765).']
Fortified Helmet;Artisan Item;['(-2979, 124, -225)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['#NO_INFO'];['+8% Max Health'];['Item is sold by NPC for: Iron Helmet, 15 Scales. The Ebonrun Runic Blacksmith is located near the bottom/front of the town at its northern end, at (-2979, 124, -225).']
Fortified Chestplate;Artisan Item;['(-2979, 124, -225)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;6;#NO_INFO;['#NO_INFO'];['+8% Max Health'];['Item is sold by NPC for: Iron Chestplate, 17 Scales. The Ebonrun Runic Blacksmith is located near the bottom/front of the town at its northern end, at (-2979, 124, -225).']
Fortified Leggings;Artisan Item;['(-2979, 124, -225)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['#NO_INFO'];['+8% Max Health'];['Item is sold by NPC for: Iron Leggings, 16 Scales. The Ebonrun Runic Blacksmith is located near the bottom/front of the town at its northern end, at (-2979, 124, -225).']
Fortified Boots;Artisan Item;['(-2979, 124, -225)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['#NO_INFO'];['+8% Max Health'];['Item is sold by NPC for: Iron Boots, 15 Scales. The Ebonrun Runic Blacksmith is located near the bottom/front of the town at its northern end, at (-2979, 124, -225).']
Unshakable;Artisan Item;['(-2979, 124, -225)'];Iron Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['#NO_INFO'];['+6 Max Health', '-0.01 Movement Speed'];['Item is sold by NPC for: 18 Scales. The Ebonrun Runic Blacksmith is located near the bottom/front of the town at its northern end, at (-2979, 124, -225).']
Unquakeable;Artisan Item;['(-2979, 124, -225)'];Iron Leggings;#NO_INFO;#NO_INFO;#NO_INFO;4;#NO_INFO;['#NO_INFO'];['+6 Max Health', '-0.01 Movement Speed'];['Item is sold by NPC for: 17 Scales. The Ebonrun Runic Blacksmith is located near the bottom/front of the town at its northern end, at (-2979, 124, -225).']
Underminer;Artisan Item;['(-2979, 124, -225)'];Chainmail Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['#NO_INFO'];['-15% Max Health', '-15% Attack Speed', '+15% Movement Speed'];['Item is sold by NPC for: 20 Scales. The Ebonrun Runic Blacksmith is located near the bottom/front of the town at its northern end, at (-2979, 124, -225).']
Defiant Arbalest;Artisan Item;['(-2979, 124, -225)'];Crossbow;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Piercing V'];['+4 Max Health', '+4 Armor'];['Item is sold by NPC for: 32 Scales, 16 Blocks of Redstone. The Ebonrun Runic Blacksmith is located near the bottom/front of the town at its northern end, at (-2979, 124, -225).']
Telescoping Bush Hat;Artisan Item;['(-3197, 63, 1254)'];Leather Helmet;#NO_INFO;#NO_INFO;#NO_INFO;1;#NO_INFO;['#NO_INFO'];['+2 Max Health', '+0.01 Movement Speed', '+1 Attack Damage'];['Item is sold by NPC for: 15 Scales. The Runic Blacksmith in Elvett is found in a house with a blue wool overhang, at (-3197, 63, 1254).']
Wall Shield;Artisan Item;['(-3197, 63, 1254)'];Shield;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['+4 Max Health', '+0.5 Knockback Resistance'];['Item is sold by NPC for: 18 Scales. The Runic Blacksmith in Elvett is found in a house with a blue wool overhang, at (-3197, 63, 1254).']
Sparksweeper;Artisan Item;['(-3197, 63, 1254)'];Stone Hoe;2;3;#NO_INFO;#NO_INFO;#NO_INFO;['Fire Aspect V'];['#NO_INFO'];['Item is sold by NPC for: 16 Scales. The Runic Blacksmith in Elvett is found in a house with a blue wool overhang, at (-3197, 63, 1254).']
Survivor's Helmet;Artisan Item;['(-1703, 155, 1865)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['#NO_INFO'];['+4% Max Health', '+4% Movement Speed', '+4% Attack Speed'];['Item is sold by NPC for: Iron Helmet, 15 Scales. The Fort Nimahj Runic Blacksmith is located at (-1703, 155, 1865).']
Survivor's Chestplate;Artisan Item;['(-1703, 155, 1865)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;6;#NO_INFO;['#NO_INFO'];['+4% Max Health', '+4% Movement Speed', '+4% Attack Speed'];['Item is sold by NPC for: Iron Chestplate, 17 Scales. The Fort Nimahj Runic Blacksmith is located at (-1703, 155, 1865).']
Survivor's Leggings;Artisan Item;['(-1703, 155, 1865)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['#NO_INFO'];['+4% Max Health', '+4% Movement Speed', '+4% Attack Speed'];['Item is sold by NPC for: Iron Leggings, 16 Scales. The Fort Nimahj Runic Blacksmith is located at (-1703, 155, 1865).']
Survivor's Boots;Artisan Item;['(-1703, 155, 1865)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['#NO_INFO'];['+4% Max Health', '+4% Movement Speed', '+4% Attack Speed'];['Item is sold by NPC for: Iron Boots, 15 Scales. The Fort Nimahj Runic Blacksmith is located at (-1703, 155, 1865).']
Heart of Tharhan;Artisan Item;['(-1703, 155, 1865)'];Shield;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking I'];['+4 Max Health'];['Item is sold by NPC for: 12 Scales. The Fort Nimahj Runic Blacksmith is located at (-1703, 155, 1865).']
Mind of Avsohm;Artisan Item;['(-1703, 155, 1865)'];Shield;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking I'];['+0.01 Movement Speed'];['Item is sold by NPC for: 12 Scales. The Fort Nimahj Runic Blacksmith is located at (-1703, 155, 1865).']
Soul of Insohm;Artisan Item;['(-1703, 155, 1865)'];Shield;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking I'];['+0.2 Attack Speed'];['Item is sold by NPC for: 12 Scales. The Fort Nimahj Runic Blacksmith is located at (-1703, 155, 1865).']
Surgedigger;Artisan Item;['(-1703, 155, 1865)'];Diamond Shovel;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Knockback VII, Efficiency V'];['6 Attack Damage'];['Item is sold by NPC for: 30 Scales, 32 Copper Ingots. The Fort Nimahj Runic Blacksmith is located at (-1703, 155, 1865).']
Emergency Respirator;Artisan Item;['(-467, 84, -1944)'];Iron Helmet;#NO_INFO;#NO_INFO;#NO_INFO;4;#NO_INFO;['Respiration VI', 'Unbreaking I'];['#NO_INFO'];['Item is sold by NPC for: 19 Scales. The Runic Blacksmith on the ICS Arbiter sells one artisan item, and is located at (-467, 84, -1944).']
Amphibious Helmet;Artisan Item;['(-11, 70, 5259)'];Chainmail Helmet;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Respiration II', 'Aqua Affinity II', 'Unbreaking III'];['+20% Knockback Resistance'];['Item is sold by NPC for: 14 Scales, 5 Chains. The Runic Blacksmith in Mohta is located in the north of the village, at (-11, 70, 5259).']
Amphibious Chestplate;Artisan Item;['(-11, 70, 5259)'];Chainmail Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;5;3;['Unbreaking III'];['+20% Knockback Resistance'];['Item is sold by NPC for: 15 Scales, 7 Chains. The Runic Blacksmith in Mohta is located in the north of the village, at (-11, 70, 5259).']
Amphibious Leggings;Artisan Item;['(-11, 70, 5259)'];Chainmail Leggings;#NO_INFO;#NO_INFO;#NO_INFO;4;3;['Unbreaking III'];['+20% Knockback Resistance'];['Item is sold by NPC for: 14 Scales, 6 Chains. The Runic Blacksmith in Mohta is located in the north of the village, at (-11, 70, 5259).']
Amphibious Boots;Artisan Item;['(-11, 70, 5259)'];Chainmail Boots;#NO_INFO;#NO_INFO;#NO_INFO;1;#NO_INFO;['Depth Strider III', 'Unbreaking III'];['+20% Knockback Resistance'];['Item is sold by NPC for: 12 Scales, 5 Chains. The Runic Blacksmith in Mohta is located in the north of the village, at (-11, 70, 5259).']
Firecrab;Artisan Item;['(-11, 70, 5259)'];Iron Sword;8;0.8;#NO_INFO;#NO_INFO;#NO_INFO;['Fire Aspect I', 'Unbreaking III'];['+4 Max Health', ' -0.01 Movement Speed'];['Item is sold by NPC for: 15 Scales. The Runic Blacksmith in Mohta is located in the north of the village, at (-11, 70, 5259).']
Dartfin;Artisan Item;['(-11, 70, 5259)'];Bow;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Punch II'];['+0.01 Movement Speed'];['Item is sold by NPC for: 23 Scales. The Runic Blacksmith in Mohta is located in the north of the village, at (-11, 70, 5259).']
Rhythm-Chain Hood;Artisan Item;['(-1571, 66, -465)'];Chainmail Helmet;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Unbreaking X'];['#NO_INFO'];['Item is sold by NPC for: 15 Scales, 5 Chains. The Okeke Runic Blacksmith is found at (-1571, 66, -465).']
Rhythm-Chain Chestplate;Artisan Item;['(-1571, 66, -465)'];Chainmail Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;6;#NO_INFO;['Unbreaking X'];['#NO_INFO'];['Item is sold by NPC for: 17 Scales, 7 Chains. The Okeke Runic Blacksmith is found at (-1571, 66, -465).']
Rhythm-Chain Leggings;Artisan Item;['(-1571, 66, -465)'];Chainmail Leggings;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['Unbreaking X'];['#NO_INFO'];['Item is sold by NPC for: 16 Scales, 6 Chains. The Okeke Runic Blacksmith is found at (-1571, 66, -465).']
Rhythm-Chain Boots;Artisan Item;['(-1571, 66, -465)'];Chainmail Boots;#NO_INFO;#NO_INFO;#NO_INFO;2;#NO_INFO;['Unbreaking X'];['#NO_INFO'];['Item is sold by NPC for: 15 Scales, 5 Chains. The Okeke Runic Blacksmith is found at (-1571, 66, -465).']
Weighted Flametreads;Artisan Item;['(-1571, 66, -465)'];Iron Boots;#NO_INFO;#NO_INFO;#NO_INFO;3;1;['Unbreaking I'];['+4 Max Health', '+10% Attack Damage', '-0.04 Movement Speed'];['Item is sold by NPC for: 20 Scales. The Okeke Runic Blacksmith is found at (-1571, 66, -465).']
Coldsnap;Artisan Item;['(-1571, 66, -465)'];Leather Leggings;#NO_INFO;#NO_INFO;#NO_INFO;5;1;['Unbreaking V', 'Fire Protection II', 'Blast Protection II', 'Projectile Protection II'];['#NO_INFO'];['Item is sold by NPC for: 20 Scales. The Okeke Runic Blacksmith is found at (-1571, 66, -465).']
Charm of Rationality;Artisan Item;['(-1571, 66, -465)'];Light Blue Dye;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['+20% Armour', '+7% Armor Toughness'];['Item is sold by NPC for: 28 Scales, 1 Diamond. The Okeke Runic Blacksmith is found at (-1571, 66, -465).']
Tetrodotox;Artisan Item;['(-1571, 66, -465)'];Diamond Leggings;#NO_INFO;#NO_INFO;#NO_INFO;7;3;['Thorns X'];['+2 Max Health'];['Item is sold by NPC for: 30 Scales, 6 Pufferfish. The Okeke Runic Blacksmith is found at (-1571, 66, -465).']
Burnt Templar's Helmet;Artisan Item;['(-2957, 97, 5164)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;3;2;['#NO_INFO'];['+4 Max Health'];['Item is sold by NPC for: Runic Amplifier, Diamond Helmet. The Rhaveloth Runic Blacksmith is located at (-2957, 97, 5164).']
Burnt Templar's Chestplate;Artisan Item;['(-2957, 97, 5164)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;8;2;['#NO_INFO'];['+4 Max Health'];['Item is sold by NPC for: Runic Amplifier, Diamond Chestplate. The Rhaveloth Runic Blacksmith is located at (-2957, 97, 5164).']
Burnt Templar's Leggings;Artisan Item;['(-2957, 97, 5164)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;6;2;['#NO_INFO'];['+4 Max Health'];['Item is sold by NPC for: Runic Amplifier, Diamond Leggings. The Rhaveloth Runic Blacksmith is located at (-2957, 97, 5164).']
Burnt Templar's Boots;Artisan Item;['(-2957, 97, 5164)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;3;2;['#NO_INFO'];['+4 Max Health'];['Item is sold by NPC for: Runic Amplifier, Diamond Boots. The Rhaveloth Runic Blacksmith is located at (-2957, 97, 5164).']
Fleshcoaxer:;Artisan Item;['(-2957, 97, 5164)'];Diamond Hoe;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Sharpness VIII', 'Looting II', 'Efficiency V'];['4 Attack Damage'];['Item is sold by NPC for: 35 Gold Ingots, 40 Quartz. The Rhaveloth Runic Blacksmith is located at (-2957, 97, 5164).']
Wallsmasher;Artisan Item;['(-2961, 86, 5176)'];Stone Axe;8;1.4;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['-3 Max Health', '+0.015 Movement Speed'];['Item is sold by NPC for: 19 Scales. A separate Runic Blacksmith, a Drehmari in Rhaveloth named "Renegade Stonecarver," sells two more artisan items in this town, at (-2961, 86, 5176).']
Emancipator;Artisan Item;['(-2961, 86, 5176)'];Stone Sword;30;0.2;#NO_INFO;#NO_INFO;#NO_INFO;['#NO_INFO'];['-0.015 Movement Speed'];['Item is sold by NPC for: 21 Scales. A separate Runic Blacksmith, a Drehmari in Rhaveloth named "Renegade Stonecarver," sells two more artisan items in this town, at (-2961, 86, 5176).']
Crystal Fiber Hood;Artisan Item;['(-2155, 65, 3666)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;3;2;['#NO_INFO'];['+15% Movement Speed', '-2 Max Health'];['Item is sold by NPC for: Runic Amplifier, Diamond Helmet. The Tharxax City Runic Blacksmith is located near the center of town, at (-2155, 65, 3666).']
Crystal Fiber Tunic;Artisan Item;['(-2155, 65, 3666)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;8;2;['#NO_INFO'];['+15% Movement Speed', '-2 Max Health'];['Item is sold by NPC for: Runic Amplifier, Diamond Chestplate. The Tharxax City Runic Blacksmith is located near the center of town, at (-2155, 65, 3666).']
Crystal Fiber Pants;Artisan Item;['(-2155, 65, 3666)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;6;2;['#NO_INFO'];['+15% Movement Speed', '-2 Max Health'];['Item is sold by NPC for: Runic Amplifier, Diamond Leggings. The Tharxax City Runic Blacksmith is located near the center of town, at (-2155, 65, 3666).']
Crystal Fiber Boots;Artisan Item;['(-2155, 65, 3666)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;3;2;['#NO_INFO'];['+15% Movement Speed', '-2 Max Health'];['Item is sold by NPC for: Runic Amplifier, Diamond Boots. The Tharxax City Runic Blacksmith is located near the center of town, at (-2155, 65, 3666).']
Skullclamp;Artisan Item;['(-2155, 65, 3666)'];Iron Helmet;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['#NO_INFO'];['-70% Max Health <br-0.04 Movement Speed', '+11 Attack Damage'];['Item is sold by NPC for: 28 Scales. The Tharxax City Runic Blacksmith is located near the center of town, at (-2155, 65, 3666).']
Battlecruisers;Artisan Item;['(-2155, 65, 3666)'];Leather Boots;#NO_INFO;#NO_INFO;#NO_INFO;1;2;['#NO_INFO'];['+0.02 Movement Speed'];['Item is sold by NPC for: 28 Scales. The Tharxax City Runic Blacksmith is located near the center of town, at (-2155, 65, 3666).']
Mason's Arson;Artisan Item;['(-2155, 65, 3666)'];Iron Boots;8;1.4;#NO_INFO;3;2;['#NO_INFO'];['+12 Max Health', '+15% Movement Speed', '-95% Attack Damage'];['Item is sold by NPC for: 33 Scales, 64 Bricks. The Tharxax City Runic Blacksmith is located near the center of town, at (-2155, 65, 3666).', 'Item is sold by NPC for: 20 Scales. The Runic Blacksmith in Morah is found at (4502, 146, 5590).']
Lazulite Helmet;Artisan Item;['(4734, 66, 5662)'];#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;3;2;['#NO_INFO'];['+8% Attack Damage'];['Item is sold by NPC for: Runic Amplifier, Diamond Helmet. The Runic Blacksmith in New Sahd is located at (4734, 66, 5662).']
